vehicle_type,entry_hour,day_type,visit_purpose,stay_duration
Hatchback,11,Weekend,Dining,1.06
Hatchback,12,Weekend,Office_Work,4.68
SUV,18,Weekend,Dining,1.91
Sedan,17,Weekend,Quick_Pickup,0.46
Sedan,18,Weekday,Shopping,2.33
Sedan,9,Weekend,Office_Work,3.26
Hatchback,10,Weekday,Dining,1.52
Sedan,11,Weekend,Quick_Pickup,0.14
Hatchback,17,Weekend,Shopping,1.45
Sedan,22,Weekday,Dining,1.12
Hatchback,22,Weekend,Quick_Pickup,0.37
SUV,11,Weekday,Movies,3.81
SUV,10,Weekend,Movies,3.49
Hatchback,14,Weekday,Quick_Pickup,0.2
Sedan,21,Weekday,Shopping,1.69
Hatchback,17,Weekend,Grocery,0.66
Hatchback,16,Weekend,Shopping,1.39
SUV,16,Weekday,Movies,3.81
SUV,11,Weekend,Quick_Pickup,0.43
Hatchback,9,Weekday,Movies,3.7
Sedan,11,Weekend,Dining,1.14
SUV,12,Weekday,Grocery,1.4
Hatchback,20,Weekend,Grocery,1.32
Hatchback,9,Weekday,Movies,2.77
Hatchback,18,Weekday,Grocery,0.64
Sedan,20,Weekend,Office_Work,5.21
Hatchback,17,Weekday,Grocery,1.33
Sedan,8,Weekday,Dining,1.83
SUV,21,Weekend,Grocery,0.62
Sedan,15,Weekday,Quick_Pickup,0.22
SUV,12,Weekend,Dining,1.46
Sedan,18,Weekday,Movies,3.98
SUV,15,Weekend,Dining,1.24
Hatchback,22,Weekday,Office_Work,4.62
Hatchback,16,Weekday,Grocery,1.3
Hatchback,10,Weekend,Office_Work,5.83
Sedan,10,Weekend,Dining,1.24
Hatchback,18,Weekday,Dining,1.96
SUV,21,Weekday,Grocery,1.4
Sedan,19,Weekday,Office_Work,5.45
Hatchback,16,Weekend,Office_Work,3.5
Sedan,18,Weekday,Movies,3.34
SUV,9,Weekend,Quick_Pickup,0.19
SUV,18,Weekend,Grocery,0.86
Sedan,12,Weekend,Dining,1.64
Sedan,20,Weekday,Movies,3.29
Hatchback,13,Weekend,Dining,1.45
SUV,19,Weekday,Shopping,1.35
SUV,13,Weekday,Shopping,2.19
Sedan,9,Weekend,Dining,1.04
SUV,21,Weekday,Dining,1.5
SUV,8,Weekday,Movies,3.52
SUV,9,Weekday,Dining,1.54
Hatchback,18,Weekday,Movies,2.87
Sedan,17,Weekday,Dining,1.68
SUV,11,Weekend,Quick_Pickup,0.47
Sedan,14,Weekend,Quick_Pickup,0.16
SUV,20,Weekday,Quick_Pickup,0.47
Hatchback,12,Weekday,Dining,1.14
Hatchback,21,Weekend,Office_Work,3.03
SUV,17,Weekend,Movies,3.84
SUV,17,Weekday,Quick_Pickup,0.2
Hatchback,13,Weekday,Shopping,2.47
Sedan,19,Weekday,Dining,1.89
Sedan,15,Weekday,Dining,1.56
Sedan,19,Weekday,Movies,3.4
Sedan,21,Weekend,Quick_Pickup,0.28
Hatchback,10,Weekday,Grocery,0.96
Hatchback,8,Weekend,Office_Work,3.39
Hatchback,10,Weekend,Grocery,1.15
SUV,8,Weekend,Movies,2.88
Hatchback,11,Weekday,Movies,3.07
Hatchback,12,Weekend,Office_Work,5.68
Sedan,20,Weekend,Shopping,1.68
Hatchback,9,Weekend,Office_Work,4.89
Sedan,22,Weekend,Quick_Pickup,0.27
SUV,16,Weekend,Dining,1.76
SUV,21,Weekend,Movies,2.58
SUV,11,Weekend,Movies,3.23
Sedan,11,Weekend,Dining,1.29
SUV,21,Weekday,Movies,3.38
SUV,13,Weekend,Grocery,0.94
Hatchback,19,Weekday,Quick_Pickup,0.2
Sedan,20,Weekday,Quick_Pickup,0.41
Hatchback,11,Weekday,Grocery,0.81
Hatchback,11,Weekend,Movies,2.52
SUV,12,Weekday,Shopping,1.34
Hatchback,10,Weekday,Shopping,2.3
Hatchback,12,Weekday,Shopping,1.19
Hatchback,9,Weekend,Dining,1.34
Hatchback,17,Weekday,Dining,1.97
Sedan,13,Weekday,Quick_Pickup,0.49
Sedan,9,Weekend,Grocery,1.4
SUV,15,Weekday,Quick_Pickup,0.15
Sedan,10,Weekend,Grocery,0.9
Hatchback,9,Weekend,Quick_Pickup,0.16
Sedan,12,Weekday,Movies,3.0
Hatchback,9,Weekend,Office_Work,4.19
Sedan,10,Weekend,Movies,2.67
Hatchback,22,Weekday,Quick_Pickup,0.25
SUV,20,Weekday,Quick_Pickup,0.37
Sedan,16,Weekday,Dining,1.64
SUV,18,Weekday,Office_Work,3.5
Sedan,14,Weekend,Dining,1.38
SUV,16,Weekend,Shopping,1.68
Hatchback,17,Weekend,Grocery,1.32
Sedan,10,Weekend,Quick_Pickup,0.45
SUV,13,Weekend,Movies,2.96
Hatchback,21,Weekday,Shopping,2.41
Sedan,19,Weekend,Dining,1.6
Sedan,10,Weekend,Office_Work,4.49
SUV,17,Weekday,Grocery,0.73
Sedan,19,Weekday,Grocery,1.22
Hatchback,21,Weekend,Office_Work,5.0
Sedan,10,Weekend,Office_Work,5.85
Sedan,10,Weekend,Dining,1.83
SUV,18,Weekday,Movies,3.29
Sedan,21,Weekday,Office_Work,5.42
SUV,8,Weekend,Shopping,2.5
Sedan,22,Weekday,Office_Work,3.6
Hatchback,21,Weekend,Dining,1.81
SUV,15,Weekend,Movies,3.13
SUV,22,Weekday,Quick_Pickup,0.22
SUV,21,Weekday,Quick_Pickup,0.37
Hatchback,11,Weekday,Shopping,2.44
Sedan,17,Weekday,Dining,1.43
SUV,18,Weekend,Quick_Pickup,0.47
Sedan,19,Weekend,Dining,1.03
Hatchback,21,Weekday,Office_Work,5.28
Sedan,22,Weekday,Quick_Pickup,0.33
Sedan,10,Weekday,Grocery,1.25
Hatchback,9,Weekday,Shopping,1.41
Sedan,20,Weekend,Grocery,1.18
Sedan,10,Weekend,Dining,1.53
Hatchback,9,Weekday,Grocery,0.92
SUV,8,Weekend,Movies,3.07
Hatchback,11,Weekend,Dining,1.35
SUV,19,Weekday,Grocery,0.82
SUV,15,Weekend,Shopping,2.11
Sedan,8,Weekend,Office_Work,4.82
Sedan,9,Weekend,Grocery,0.94
Sedan,21,Weekend,Shopping,1.68
Hatchback,16,Weekday,Grocery,0.65
SUV,10,Weekday,Grocery,1.15
Sedan,9,Weekend,Quick_Pickup,0.26
Sedan,20,Weekend,Shopping,2.0
Hatchback,8,Weekend,Movies,3.07
SUV,21,Weekday,Quick_Pickup,0.38
Sedan,12,Weekday,Quick_Pickup,0.11
SUV,17,Weekend,Grocery,1.46
Hatchback,10,Weekday,Office_Work,4.31
Hatchback,21,Weekday,Office_Work,4.65
SUV,10,Weekday,Grocery,1.46
Sedan,16,Weekday,Dining,1.32
Sedan,11,Weekend,Quick_Pickup,0.38
Sedan,20,Weekday,Office_Work,4.31
Sedan,21,Weekday,Grocery,1.31
Hatchback,10,Weekday,Grocery,1.12
Hatchback,14,Weekend,Grocery,1.34
SUV,16,Weekday,Grocery,0.68
Sedan,8,Weekend,Office_Work,4.73
Hatchback,16,Weekend,Quick_Pickup,0.18
SUV,16,Weekend,Quick_Pickup,0.42
Hatchback,15,Weekend,Shopping,2.23
Hatchback,20,Weekend,Shopping,1.32
Sedan,21,Weekday,Grocery,0.56
SUV,15,Weekday,Grocery,0.69
Hatchback,11,Weekend,Grocery,1.3
Sedan,12,Weekend,Office_Work,4.41
SUV,13,Weekend,Office_Work,5.64
Sedan,10,Weekend,Movies,3.25
Hatchback,9,Weekend,Shopping,1.27
SUV,22,Weekend,Shopping,1.08
Hatchback,8,Weekday,Office_Work,4.67
SUV,21,Weekday,Movies,2.89
Hatchback,8,Weekday,Movies,3.89
Sedan,14,Weekend,Shopping,2.99
SUV,9,Weekday,Quick_Pickup,0.15
Sedan,21,Weekday,Movies,3.08
Sedan,17,Weekday,Grocery,0.79
Sedan,22,Weekday,Grocery,0.75
Hatchback,14,Weekend,Quick_Pickup,0.36
Sedan,9,Weekend,Shopping,2.56
Sedan,15,Weekend,Shopping,1.96
Hatchback,9,Weekend,Grocery,1.31
Hatchback,15,Weekend,Office_Work,3.28
Hatchback,18,Weekend,Shopping,1.76
Hatchback,20,Weekend,Movies,3.78
Sedan,17,Weekday,Office_Work,4.09
Hatchback,9,Weekday,Shopping,1.36
SUV,22,Weekend,Office_Work,3.76
SUV,16,Weekend,Movies,3.91
Hatchback,13,Weekday,Shopping,1.29
SUV,16,Weekend,Movies,3.79
Hatchback,13,Weekday,Quick_Pickup,0.44
Hatchback,18,Weekend,Quick_Pickup,0.25
Sedan,11,Weekend,Grocery,1.14
SUV,15,Weekday,Dining,1.85
Sedan,9,Weekend,Office_Work,5.86
Hatchback,21,Weekend,Movies,3.8
Sedan,13,Weekday,Dining,1.92
SUV,13,Weekend,Shopping,2.9
Sedan,19,Weekend,Quick_Pickup,0.44
SUV,22,Weekday,Office_Work,5.73
Hatchback,12,Weekday,Dining,1.38
SUV,22,Weekend,Shopping,1.34
Sedan,19,Weekday,Shopping,2.44
Sedan,13,Weekend,Dining,1.37
Hatchback,12,Weekday,Shopping,2.99
SUV,10,Weekday,Grocery,1.34
Sedan,9,Weekday,Shopping,1.68
SUV,12,Weekend,Movies,3.6
Sedan,22,Weekday,Dining,1.81
SUV,22,Weekday,Grocery,0.98
SUV,8,Weekday,Office_Work,5.27
Hatchback,9,Weekday,Shopping,2.0
Hatchback,12,Weekend,Shopping,2.56
SUV,14,Weekend,Office_Work,3.11
Hatchback,12,Weekday,Shopping,1.92
Hatchback,16,Weekend,Shopping,1.15
Hatchback,16,Weekday,Office_Work,5.55
Hatchback,19,Weekend,Office_Work,5.22
Hatchback,9,Weekday,Shopping,2.06
SUV,21,Weekday,Quick_Pickup,0.48
Hatchback,18,Weekend,Dining,1.82
Sedan,18,Weekday,Quick_Pickup,0.35
Hatchback,22,Weekday,Movies,3.45
Hatchback,9,Weekday,Shopping,2.14
Sedan,14,Weekend,Dining,1.36
Hatchback,21,Weekend,Movies,2.95
SUV,16,Weekend,Movies,2.93
Sedan,19,Weekend,Office_Work,5.86
SUV,22,Weekend,Dining,1.09
Sedan,16,Weekend,Movies,3.16
Sedan,14,Weekday,Quick_Pickup,0.13
Hatchback,19,Weekday,Quick_Pickup,0.44
SUV,11,Weekday,Shopping,1.61
Hatchback,10,Weekend,Shopping,2.53
Sedan,22,Weekend,Shopping,1.22
SUV,9,Weekend,Quick_Pickup,0.1
Sedan,22,Weekend,Dining,1.75
Sedan,9,Weekday,Dining,1.98
Hatchback,21,Weekday,Quick_Pickup,0.19
Sedan,20,Weekend,Dining,1.01
Hatchback,13,Weekend,Grocery,0.61
SUV,20,Weekday,Shopping,2.71
SUV,16,Weekday,Dining,1.77
SUV,13,Weekend,Shopping,1.69
SUV,21,Weekday,Dining,1.86
Sedan,8,Weekday,Quick_Pickup,0.14
Sedan,9,Weekend,Movies,3.08
Hatchback,18,Weekend,Quick_Pickup,0.2
Hatchback,20,Weekend,Movies,2.61
Hatchback,14,Weekday,Quick_Pickup,0.16
SUV,21,Weekday,Quick_Pickup,0.13
SUV,12,Weekday,Grocery,0.74
Hatchback,15,Weekend,Shopping,1.11
Sedan,15,Weekend,Quick_Pickup,0.39
Sedan,20,Weekday,Quick_Pickup,0.34
Hatchback,18,Weekday,Shopping,1.63
SUV,18,Weekday,Movies,3.87
Hatchback,22,Weekend,Movies,3.32
Hatchback,16,Weekend,Quick_Pickup,0.11
Hatchback,10,Weekend,Office_Work,3.06
SUV,15,Weekday,Office_Work,3.51
Sedan,20,Weekend,Shopping,1.45
Hatchback,17,Weekend,Dining,1.01
SUV,8,Weekend,Quick_Pickup,0.44
Sedan,11,Weekday,Dining,1.66
Hatchback,17,Weekday,Grocery,1.46
SUV,19,Weekend,Shopping,2.0
Sedan,14,Weekday,Office_Work,4.28
Sedan,15,Weekday,Grocery,1.46
SUV,15,Weekend,Quick_Pickup,0.18
Hatchback,8,Weekday,Shopping,2.85
Hatchback,22,Weekday,Grocery,0.9
Hatchback,8,Weekend,Quick_Pickup,0.42
Sedan,22,Weekend,Office_Work,3.18
Hatchback,21,Weekday,Shopping,1.49
Sedan,13,Weekday,Office_Work,4.4
Hatchback,20,Weekend,Dining,1.78
Sedan,8,Weekend,Movies,2.75
Sedan,13,Weekend,Dining,1.14
SUV,20,Weekend,Quick_Pickup,0.34
Sedan,21,Weekend,Quick_Pickup,0.23
SUV,18,Weekend,Dining,1.33
SUV,9,Weekend,Shopping,1.37
Hatchback,13,Weekend,Shopping,2.97
SUV,10,Weekday,Quick_Pickup,0.45
SUV,22,Weekday,Office_Work,4.88
Hatchback,10,Weekend,Grocery,0.65
Hatchback,8,Weekend,Quick_Pickup,0.11
Sedan,9,Weekday,Shopping,1.48
SUV,17,Weekday,Grocery,0.97
Sedan,8,Weekend,Dining,1.79
Sedan,18,Weekend,Movies,3.63
SUV,17,Weekend,Movies,3.26
SUV,14,Weekday,Quick_Pickup,0.33
Sedan,16,Weekend,Movies,3.43
SUV,13,Weekend,Quick_Pickup,0.5
Hatchback,8,Weekday,Shopping,2.46
Sedan,14,Weekend,Shopping,2.86
Sedan,21,Weekend,Quick_Pickup,0.23
Hatchback,20,Weekend,Movies,3.97
Sedan,16,Weekend,Movies,3.58
Hatchback,21,Weekend,Quick_Pickup,0.2
SUV,18,Weekday,Shopping,2.45
Sedan,14,Weekend,Shopping,2.43
SUV,17,Weekend,Dining,1.98
Hatchback,18,Weekday,Grocery,0.77
Sedan,13,Weekday,Grocery,1.34
SUV,9,Weekend,Quick_Pickup,0.37
Hatchback,15,Weekday,Shopping,1.2
SUV,15,Weekend,Quick_Pickup,0.42
Sedan,14,Weekday,Office_Work,4.77
Hatchback,21,Weekday,Shopping,2.45
Sedan,13,Weekday,Office_Work,5.8
Sedan,9,Weekday,Dining,1.39
Sedan,15,Weekday,Office_Work,4.55
Hatchback,15,Weekend,Dining,1.79
Sedan,16,Weekday,Grocery,1.38
Hatchback,19,Weekend,Grocery,0.6
SUV,8,Weekend,Shopping,2.09
Hatchback,22,Weekday,Shopping,2.83
Sedan,20,Weekend,Quick_Pickup,0.12
SUV,14,Weekend,Quick_Pickup,0.2
SUV,18,Weekend,Movies,3.0
SUV,10,Weekend,Office_Work,4.84
SUV,10,Weekend,Grocery,0.73
SUV,15,Weekend,Office_Work,3.39
SUV,14,Weekday,Shopping,2.25
Hatchback,21,Weekday,Office_Work,3.49
SUV,10,Weekday,Office_Work,3.93
Hatchback,20,Weekend,Dining,1.93
Hatchback,14,Weekday,Dining,1.95
Sedan,16,Weekend,Office_Work,5.4
Sedan,16,Weekday,Quick_Pickup,0.12
Hatchback,10,Weekday,Movies,3.64
Hatchback,20,Weekend,Shopping,1.81
SUV,21,Weekend,Grocery,0.51
Sedan,19,Weekend,Shopping,1.52
Sedan,9,Weekend,Quick_Pickup,0.11
Hatchback,21,Weekday,Office_Work,4.99
SUV,22,Weekday,Grocery,1.18
SUV,13,Weekday,Movies,2.51
Sedan,19,Weekday,Office_Work,3.59
Hatchback,14,Weekday,Office_Work,5.18
Sedan,10,Weekend,Shopping,2.24
SUV,19,Weekend,Dining,1.75
Sedan,8,Weekend,Shopping,2.81
SUV,8,Weekend,Dining,1.04
Hatchback,20,Weekend,Office_Work,5.12
Sedan,21,Weekend,Quick_Pickup,0.47
Hatchback,13,Weekday,Grocery,0.68
Hatchback,15,Weekend,Movies,2.85
SUV,8,Weekday,Movies,3.72
SUV,8,Weekday,Dining,1.42
SUV,11,Weekend,Office_Work,3.45
SUV,16,Weekend,Movies,2.86
SUV,18,Weekend,Office_Work,4.55
SUV,13,Weekday,Movies,3.83
Hatchback,20,Weekend,Shopping,1.19
SUV,13,Weekend,Dining,1.81
Hatchback,8,Weekday,Movies,2.64
Hatchback,11,Weekend,Shopping,1.22
SUV,14,Weekday,Grocery,0.91
Hatchback,13,Weekend,Office_Work,5.34
Hatchback,21,Weekend,Dining,1.48
Sedan,11,Weekend,Grocery,0.75
Hatchback,22,Weekday,Office_Work,5.41
Sedan,17,Weekday,Office_Work,4.86
Sedan,8,Weekday,Office_Work,5.35
Hatchback,9,Weekday,Grocery,0.93
SUV,20,Weekend,Grocery,1.28
Hatchback,13,Weekend,Dining,1.31
Sedan,13,Weekend,Grocery,0.95
SUV,8,Weekend,Quick_Pickup,0.36
Sedan,12,Weekend,Quick_Pickup,0.37
Hatchback,21,Weekend,Office_Work,4.38
Hatchback,18,Weekend,Grocery,1.3
Hatchback,21,Weekend,Movies,2.76
Hatchback,18,Weekday,Movies,3.48
SUV,11,Weekday,Shopping,2.53
Hatchback,12,Weekday,Grocery,1.39
Hatchback,16,Weekday,Shopping,2.55
SUV,13,Weekend,Office_Work,3.1
Sedan,22,Weekend,Office_Work,4.32
SUV,19,Weekday,Shopping,1.19
Hatchback,17,Weekday,Movies,2.66
SUV,18,Weekend,Dining,1.16
Hatchback,9,Weekend,Grocery,0.85
SUV,9,Weekday,Quick_Pickup,0.29
SUV,19,Weekday,Shopping,1.84
Hatchback,16,Weekday,Grocery,0.79
SUV,17,Weekend,Quick_Pickup,0.2
Sedan,21,Weekend,Grocery,0.69
SUV,17,Weekend,Dining,1.15
Hatchback,11,Weekday,Dining,1.05
SUV,17,Weekday,Movies,3.88
Hatchback,20,Weekday,Dining,1.95
Sedan,16,Weekday,Office_Work,3.31
Sedan,22,Weekend,Movies,3.76
Sedan,15,Weekend,Quick_Pickup,0.49
SUV,18,Weekend,Dining,1.49
SUV,18,Weekend,Shopping,1.96
Sedan,22,Weekday,Dining,1.27
Hatchback,12,Weekend,Grocery,0.76
Sedan,13,Weekday,Quick_Pickup,0.41
SUV,9,Weekday,Quick_Pickup,0.27
SUV,21,Weekday,Shopping,2.0
Sedan,12,Weekend,Dining,1.75
SUV,13,Weekend,Dining,1.46
SUV,8,Weekday,Movies,3.74
Sedan,20,Weekend,Dining,1.91
Sedan,16,Weekend,Dining,1.47
Sedan,15,Weekend,Quick_Pickup,0.19
Hatchback,20,Weekday,Dining,1.91
SUV,14,Weekday,Office_Work,4.05
Sedan,17,Weekday,Quick_Pickup,0.14
Hatchback,17,Weekend,Shopping,2.77
SUV,21,Weekend,Grocery,0.55
Sedan,15,Weekend,Office_Work,3.34
Sedan,18,Weekend,Office_Work,5.91
Sedan,17,Weekend,Dining,1.01
Sedan,16,Weekend,Movies,2.88
SUV,19,Weekday,Dining,1.23
Hatchback,22,Weekday,Quick_Pickup,0.22
Hatchback,18,Weekday,Dining,1.98
Sedan,21,Weekday,Movies,3.03
SUV,21,Weekend,Movies,2.65
SUV,10,Weekday,Office_Work,5.78
SUV,10,Weekend,Movies,2.83
Sedan,12,Weekday,Shopping,1.62
Sedan,21,Weekend,Office_Work,4.6
Hatchback,21,Weekday,Grocery,0.73
SUV,11,Weekend,Grocery,0.52
SUV,20,Weekday,Shopping,2.1
SUV,10,Weekday,Dining,1.89
SUV,10,Weekday,Dining,1.05
Sedan,20,Weekend,Movies,2.73
Sedan,10,Weekday,Shopping,1.32
Sedan,8,Weekend,Quick_Pickup,0.24
Hatchback,13,Weekend,Quick_Pickup,0.31
SUV,20,Weekend,Dining,1.84
SUV,11,Weekend,Dining,1.43
SUV,17,Weekend,Dining,1.81
Sedan,10,Weekday,Grocery,0.84
SUV,18,Weekend,Movies,3.15
Sedan,11,Weekday,Shopping,2.2
Sedan,8,Weekend,Shopping,2.07
Sedan,14,Weekend,Office_Work,4.88
Hatchback,16,Weekend,Shopping,2.45
SUV,9,Weekday,Movies,3.99
Sedan,12,Weekday,Shopping,1.99
Hatchback,16,Weekend,Dining,1.61
Sedan,22,Weekday,Dining,1.89
Sedan,20,Weekday,Quick_Pickup,0.32
Hatchback,18,Weekend,Shopping,1.6
Hatchback,19,Weekend,Quick_Pickup,0.4
Sedan,12,Weekday,Movies,3.32
SUV,22,Weekend,Shopping,2.37
Hatchback,9,Weekday,Quick_Pickup,0.37
Hatchback,20,Weekday,Office_Work,3.15
SUV,19,Weekend,Quick_Pickup,0.31
SUV,13,Weekend,Office_Work,5.37
SUV,12,Weekend,Quick_Pickup,0.49
Hatchback,22,Weekend,Dining,1.56
Hatchback,11,Weekday,Dining,1.53
SUV,18,Weekend,Shopping,2.6
Hatchback,15,Weekend,Office_Work,3.12
Sedan,13,Weekday,Office_Work,4.08
Hatchback,21,Weekday,Dining,1.06
Sedan,14,Weekend,Movies,3.71
SUV,22,Weekend,Dining,1.03
Hatchback,9,Weekend,Movies,3.58
SUV,13,Weekend,Movies,3.67
SUV,19,Weekday,Grocery,1.28
SUV,16,Weekend,Shopping,1.95
Hatchback,16,Weekday,Dining,1.9
Hatchback,9,Weekend,Movies,2.6
SUV,21,Weekend,Grocery,1.2
Sedan,12,Weekday,Quick_Pickup,0.2
Hatchback,9,Weekday,Grocery,0.71
SUV,18,Weekend,Office_Work,5.42
Sedan,15,Weekend,Grocery,1.21
Sedan,8,Weekday,Office_Work,3.56
SUV,14,Weekend,Office_Work,5.42
SUV,10,Weekday,Quick_Pickup,0.19
Sedan,19,Weekend,Grocery,1.32
SUV,10,Weekday,Dining,1.58
Hatchback,18,Weekend,Dining,1.84
SUV,20,Weekday,Office_Work,3.12
Sedan,14,Weekday,Shopping,2.02
SUV,19,Weekend,Quick_Pickup,0.14
Sedan,15,Weekday,Office_Work,4.54
Hatchback,15,Weekend,Dining,1.43
Sedan,16,Weekday,Movies,3.06
SUV,19,Weekend,Shopping,2.93
Sedan,22,Weekend,Quick_Pickup,0.13
SUV,17,Weekday,Movies,2.56
SUV,17,Weekend,Quick_Pickup,0.14
SUV,10,Weekday,Grocery,0.99
SUV,19,Weekend,Movies,3.67
SUV,17,Weekday,Office_Work,4.31
Hatchback,18,Weekend,Movies,3.92
Hatchback,16,Weekday,Grocery,1.37
Hatchback,19,Weekend,Office_Work,5.18
Sedan,20,Weekend,Dining,1.72
Sedan,17,Weekday,Movies,2.94
Sedan,13,Weekend,Movies,3.0
SUV,18,Weekend,Shopping,2.23
SUV,14,Weekday,Grocery,0.97
SUV,9,Weekday,Shopping,1.42
SUV,15,Weekday,Movies,2.53
Hatchback,22,Weekday,Dining,1.2
SUV,11,Weekday,Movies,3.3
SUV,11,Weekday,Grocery,1.21
Sedan,9,Weekend,Office_Work,3.63
SUV,15,Weekday,Grocery,0.87
Sedan,22,Weekday,Quick_Pickup,0.47
Sedan,11,Weekend,Dining,1.13
SUV,10,Weekend,Shopping,2.71
SUV,18,Weekday,Dining,1.19
Sedan,13,Weekend,Shopping,1.71
Hatchback,10,Weekday,Office_Work,5.76
SUV,10,Weekday,Office_Work,3.07
Sedan,11,Weekday,Grocery,0.65
SUV,14,Weekend,Movies,3.1
Hatchback,9,Weekday,Grocery,0.71
SUV,13,Weekend,Dining,1.84
Sedan,21,Weekday,Shopping,2.07
SUV,10,Weekday,Movies,3.82
Sedan,13,Weekday,Dining,1.26
SUV,11,Weekend,Dining,1.76
SUV,22,Weekday,Dining,1.08
Hatchback,17,Weekday,Quick_Pickup,0.45
Sedan,13,Weekday,Dining,1.01
Hatchback,14,Weekend,Quick_Pickup,0.4
SUV,11,Weekday,Grocery,1.31
Hatchback,22,Weekday,Quick_Pickup,0.19
Hatchback,15,Weekday,Office_Work,4.57
Hatchback,11,Weekday,Grocery,1.04
SUV,22,Weekday,Quick_Pickup,0.28
Hatchback,12,Weekday,Office_Work,3.57
Hatchback,15,Weekend,Office_Work,3.19
Hatchback,12,Weekend,Office_Work,5.99
SUV,20,Weekend,Dining,1.99
SUV,10,Weekday,Quick_Pickup,0.33
Sedan,11,Weekday,Shopping,2.86
Hatchback,10,Weekend,Movies,3.39
Sedan,15,Weekday,Office_Work,5.37
Sedan,11,Weekday,Quick_Pickup,0.45
SUV,17,Weekday,Shopping,1.67
Sedan,10,Weekday,Office_Work,3.11
Sedan,17,Weekday,Grocery,1.17
Hatchback,19,Weekend,Dining,1.97
SUV,10,Weekend,Grocery,0.96
SUV,8,Weekday,Shopping,1.12
Sedan,14,Weekday,Office_Work,3.58
Hatchback,16,Weekend,Quick_Pickup,0.19
SUV,16,Weekend,Dining,1.59
SUV,20,Weekday,Office_Work,4.85
Sedan,17,Weekday,Grocery,1.07
Sedan,8,Weekend,Shopping,2.95
Hatchback,14,Weekend,Grocery,1.28
SUV,20,Weekend,Quick_Pickup,0.18
SUV,11,Weekend,Dining,1.99
SUV,19,Weekday,Dining,1.74
Sedan,13,Weekday,Quick_Pickup,0.47
SUV,10,Weekend,Quick_Pickup,0.2
Hatchback,12,Weekday,Dining,1.41
Sedan,18,Weekday,Movies,3.46
Hatchback,19,Weekday,Movies,3.01
SUV,16,Weekday,Movies,3.51
SUV,19,Weekend,Movies,3.43
Sedan,14,Weekday,Movies,3.85
Sedan,19,Weekend,Grocery,1.25
Hatchback,16,Weekday,Office_Work,4.83
Hatchback,17,Weekday,Dining,1.05
Sedan,10,Weekend,Shopping,2.16
SUV,18,Weekday,Dining,1.55
